公司名稱,公司簡稱,公司代號
鑫科材料科技股份有限公司,鑫科,3663
安瑞科技股份有限公司,安瑞-KY,3664
光耀科技股份有限公司,光耀,3666
康聯訊科技股份有限公司,康聯訊,3672
德微科技股份有限公司,德微,3675
家登精密工業股份有限公司,家登,3680
榮昌科技股份有限公司,榮昌,3684
元創精密車業股份有限公司,元創精密,3685
茂為歐買尬數位科技股份有限公司,歐買尬,3687
湧德電子股份有限公司,湧德,3689
碩禾電子材料股份有限公司,碩禾,3691
營邦企業股份有限公司,營邦,3693
漢磊科技股份有限公司,漢磊,3707
鑫聯大投資控股股份有限公司,鑫聯大投控,3709
連展投資控股股份有限公司,連展投控,3710
新晶投資控股股份有限公司,新晶投控,3713
永日化學工業股份有限公司,永日,4102
台灣東洋藥品工業股份有限公司,東洋,4105
邦特生物科技股份有限公司,邦特,4107
加捷生醫股份有限公司,加捷生醫,4109
濟生醫藥生技股份有限公司,濟生,4111
聯上實業股份有限公司,聯上,4113
健喬信元醫藥生技股份有限公司,健喬,4114
明基三豐醫療器材股份有限公司,明基醫,4116
友華生技醫藥股份有限公司,友華,4120
優盛醫學科技股份有限公司,優盛,4121
晟德大藥廠股份有限公司,晟德,4123
太平洋醫材股份有限公司,太醫,4126
天良生物科技企業股份有限公司,天良,4127
中天生物科技股份有限公司,中天,4128
聯合骨科器材股份有限公司,聯合,4129
健亞生物科技股份有限公司,健亞,4130
浩泰精準股份有限公司,浩泰,4131
曜亞國際股份有限公司,曜亞,4138
馬光保健控股股份有限公司,馬光-KY,4139
中裕新藥股份有限公司,中裕,4147
鈺緯科技開發股份有限公司,鈺緯,4153
樂威科股份有限公司,樂威科-KY,4154
太景醫藥研發控股股份有限公司,太景*-KY,4157
訊聯基因數位股份有限公司,訊聯基因,4160
聿新生物科技股份有限公司,聿新科,4161
智擎生技製藥股份有限公司,智擎,4162
鐿鈦科技股份有限公司,鐿鈦,4163
友霖生技醫藥股份有限公司,友霖,4166
松瑞製藥股份有限公司,松瑞藥,4167
台灣醣聯生技醫藥股份有限公司,醣聯,4168
瑞基海洋生物科技股份有限公司,瑞基,4171
久裕企業股份有限公司,久裕,4173
台灣浩鼎生技股份有限公司,浩鼎,4174
杏一醫療用品股份有限公司,杏一,4175
福永生物科技股份有限公司,福永生技,4183
安克生醫股份有限公司,安克,4188
杏國新藥股份有限公司,杏國,4192
欣大健康投資控股股份有限公司,欣大健康,4198
中華食品實業股份有限公司,中華食,4205
環泰企業股份有限公司,環泰,4207
信立化學工業股份有限公司,信立,4303
勝昱科技股份有限公司,勝昱,4304
世坤塑膠股份有限公司,世坤,4305
東隆興業股份有限公司,東隆興,4401
郡都開發股份有限公司,郡都開發,4402
新昕纖維股份有限公司,新昕纖,4406
飛寶企業股份有限公司,飛寶企業,4413
三圓建設股份有限公司,三圓,4416
金洲海洋科技股份有限公司,金洲,4417
皇家國際美食股份有限公司,皇家美食,4419
光明絲織廠股份有限公司,光明,4420
耀億工業股份有限公司,耀億,4430
銘旺實業股份有限公司,銘旺實,4432
興采實業股份有限公司,興采,4433
開曼群島商竣邦國際股份有限公司,竣邦-KY,4442
健信科技工業股份有限公司,健信,4502
金雨企業股份有限公司,金雨,4503
崇友實業(股)公司,崇友,4506
高鋒工業股份有限公司,高鋒,4510
福裕事業股份有限公司,福裕,4513
永彰科技股份有限公司,永彰,4523
(方方土)霖冷凍機械股份有限公司,方方土霖,4527
江興鍛壓工業股份有限公司,江興鍛,4528
淳紳股份有限公司,淳紳,4529
宏易創新國際股份有限公司,宏易,4530
協易機械工業股份有限公司,協易機,4533
慶騰精密科技股份有限公司,慶騰,4534
至興精機股份有限公司,至興,4535
大詠城機械股份有限公司,大詠城,4538
晟田科技工業股份有限公司,晟田,4541
科嶠工業股份有限公司,科嶠,4542
萬在工業股份有限公司,萬在,4543
桓達科技股份有限公司,桓達,4549
長佳機電工程股份有限公司,長佳,4550
橙的電子股份有限公司,橙的,4554
旭然國際股份有限公司,旭然,4556
寶緯工業股份有限公司,寶緯,4558
健椿工業股份有限公司,健椿,4561
百德機械股份有限公司,百德,4563
科際精密股份有限公司,科際精密,4568
達航科技股份有限公司,達航科技,4577
捷流閥業股份有限公司,捷流閥業,4580
君帆工業股份有限公司,君帆,4584
唐鋒實業股份有限公司,唐鋒,4609
中美聯合實業股份有限公司,中美實,4702
大恭化學工業股份有限公司,大恭,4706
磐亞股份有限公司,磐亞,4707
永純化學工業股份有限公司,永純,4711
永捷創新科技股份有限公司,永捷,4714
大立高分子工業股份有限公司,大立,4716
美琪瑪國際股份有限公司,美琪瑪,4721
永昕生物醫藥股份有限公司,永昕,4726
雙美生物科技股份有限公司,雙美,4728
熒茂光學股份有限公司,熒茂,4729
豪展醫療科技股份有限公司,豪展,4735
泓瀚科技股份有限公司,泓瀚,4741
合一生技股份有限公司,合一,4743
皇將科技股份有限公司,皇將,4744
合富醫療控股股份有限公司,合富-KY,4745
強生化學製藥廠股份有限公司,強生製藥,4747
新應材股份有限公司,新應材,4749
國碳科技股份有限公司,國碳科,4754
勤凱科技股份有限公司,勤凱科技,4760
誠泰工業科技股份有限公司,誠泰科技,4767
晶呈科技股份有限公司,晶呈科技,4768
台灣特品化學股份有限公司,台特化,4772
大略國際控股有限公司,大略-KY,4804
桂田文創娛樂股份有限公司,桂田文創,4806
聯合光纖通信股份有限公司,聯光通,4903
台聯電訊股份有限公司,台聯電,4905
富宇地產股份有限公司,富宇,4907
前鼎光電股份有限公司,前鼎,4908
新復興微波通訊股份有限公司,新復興,4909
德英生物科技股份有限公司,德英,4911
力士科技股份有限公司,力士,4923
欣厚科技股份有限公司,欣厚-KY,4924
新盛力科技股份有限公司,新盛力,4931
友輝光電股份有限公司,友輝,4933
亞洲電材股份有限公司,亞電,4939
紅心辣椒娛樂科技股份有限公司,辣椒,4946
金耘國際股份有限公司,金耘國際,4950
精拓科技股份有限公司,精拓科,4951
緯創軟體股份有限公司,緯軟,4953
譜瑞科技股份有限公司,譜瑞-KY,4966
英特磊科技股份有限公司,IET-KY,4971
湯石照明科技股份有限公司,湯石照明,4972
廣穎電通股份有限公司,廣穎電通,4973
亞泰影像科技股份有限公司,亞泰,4974
華星光通科技股份有限公司,華星光,4979
科誠股份有限公司,科誠,4987
環宇通訊半導體控股股份有限公司,環宇-KY,4991
晶達光電股份有限公司,晶達,4995
榮剛材料科技股份有限公司,榮剛,5009
久陽精密股份有限公司,久陽,5011
強新工業股份有限公司,強新,5013
建錩實業股份有限公司,建錩,5014
華祺工業股份有限公司,華祺,5015
松和工業股份有限公司,松和,5016
凱衛資訊股份有限公司,凱衛,5201
力新國際科技股份有限公司,力新,5202
中茂能資系統整合科技(股)公司,中茂,5205
坤悅開發股份有限公司,坤悅,5206
新鼎系統股份有限公司,新鼎,5209
寶碩財務科技股份有限公司,寶碩,5210
蒙恬科技股份有限公司,蒙恬,5211
凌網科技股份有限公司,凌網,5212
亞昕國際開發股份有限公司,亞昕,5213
萬達光電科技股份有限公司,萬達光電,5220
安力國際股份有限公司,安力-KY,5223
蓋曼群島商立凱電能科技(股)公司,立凱-KY,5227
鈺鎧科技股份有限公司,鈺鎧,5228
雷笛克光學股份有限公司,雷笛克光學,5230
凌陽創新科技股份有限公司,凌陽創新,5236
智晶光電股份有限公司,智晶,5245
天鉞電子股份有限公司,天鉞電,5251
智崴資訊科技股份有限公司,智崴,5263
笙科電子股份有限公司,笙科,5272
信驊科技股份有限公司,信驊,5274
達輝股份有限公司,達輝-KY,5276
尚凡國際創新科技股份有限公司,尚凡*,5278
數字科技股份有限公司,數字,5287
宜鼎國際股份有限公司,宜鼎,5289
邑昇實業股份有限公司,邑昇,5291
杰力科技股份有限公司,杰力,5299
寶得利國際股份有限公司,寶得利,5301
太欣半導體股份有限公司,太欣,5302
系統電子工業股份有限公司,系統電,5309
天剛資訊股份有限公司,天剛,5310
寶島光學科技股份有限公司,寶島科,5312
世紀民生科技股份有限公司,世紀*,5314
光聯科技股份有限公司,光聯,5315
美而快國際股份有限公司,美而快,5321
士林開發股份有限公司,士開,5324
華容股份有限公司,華容,5328
建榮工業材料股份有限公司,建榮,5340
立衛科技股份有限公司,立衛,5344
馥鴻建設股份有限公司,馥鴻,5345
世界先進積體電路股份有限公司,世界,5347
正能量智能股份有限公司,正能量智能,5348
鈺創科技股份有限公司,鈺創,5351
台林電通股份有限公司,台林,5353
佳總興業股份有限公司,佳總,5355
協益電子股份有限公司,協益,5356
力麗觀光開發股份有限公司,力麗店,5364
中強光電股份有限公司,中光電,5371
光譜電工股份有限公司,光譜,5381
青雲國際科技股份有限公司,青雲,5386
能率創新股份有限公司,能率,5392
慕康生技醫藥股份有限公司,慕康生醫,5398
中菲電腦股份有限公司,中菲,5403
國眾電腦股份有限公司,國眾,5410
台灣半導體股份有限公司,台半,5425
振發實業股份有限公司,振發,5426
新門科技股份有限公司,新門,5432
東友科技股份有限公司,東友,5438
高技企業股份有限公司,高技,5439
均豪精密工業股份有限公司,均豪,5443
南良國際股份有限公司,南良,5450
佶優科技股份有限公司,佶優,5452
昇益開發股份有限公司,昇益,5455
宣德科技股份有限公司,宣德,5457
同協電子股份有限公司,同協,5460
霖宏科技股份有限公司,霖宏,5464
富驊企業股份有限公司,富驊,5465
凱鈺科技股份有限公司,凱鈺,5468
聰泰科技開發股份有限公司,聰泰,5474
德宏工業股份有限公司,德宏,5475
智冠科技股份有限公司,智冠,5478
新華泰富股份有限公司,新華,5481
中美矽晶製品股份有限公司,中美晶,5483
通泰積體電路股份有限公司,通泰,5487
松普科技股份有限公司,松普,5488
彩富電子股份有限公司,彩富,5489
同亨科技股份有限公司,同亨,5490
三聯科技股份有限公司,三聯,5493
凱崴電子股份有限公司,凱崴,5498
永信建設開發股份有限公司,永信建,5508
德昌營造股份有限公司,德昌,5511
力麒建設股份有限公司,力麒,5512
三豐建設股份有限公司,三豐,5514
雙喜營造股份有限公司,雙喜,5516
力泰建設企業股份有限公司,力泰,5520
豐謙建設股份有限公司,豐謙,5523
鉅陞國際開發股份有限公司,鉅陞,5529
龍巖股份有限公司,龍巖,5530
聖暉工程科技股份有限公司,聖暉*,5536
桓鼎股份有限公司,桓鼎-KY,5543
久舜營造股份有限公司,久舜,5547
安倉營造股份有限公司,安倉,5548
臺聯貨櫃通運股份有限公司,台聯櫃,5601
陸海股份有限公司,陸海,5603
中連誠企業股份有限公司,中連,5604
中菲行國際物流股份有限公司,中菲行,5609
劍湖山世界股份有限公司,劍湖山,5701
亞都麗緻大飯店股份有限公司,亞都麗緻,5703
知本老爺大酒店股份有限公司,老爺知,5704
致和證券股份有限公司,致和證,5864
台名保險經紀人股份有限公司,台名,5878
德記洋行股份有限公司,德記,5902
全家便利商店股份有限公司,全家,5903
寶雅國際股份有限公司,寶雅,5904
南仁湖育樂股份有限公司,南仁湖,5905
宏遠證券股份有限公司,宏遠證,6015
康和綜合證券股份有限公司,康和證,6016
大展證券股份有限公司,大展證,6020
美好證券股份有限公司,美好證,6021
元大期貨股份有限公司,元大期貨,6023
福邦證券股份有限公司,福邦證,6026
公勝保險經紀人股份有限公司,公勝保經,6028
寬魚國際股份有限公司,寬魚國際,6101
合邦電子股份有限公司,合邦,6103
創惟科技股份有限公司,創惟,6104
亞元科技股份有限公司,亞元,6109
光聚晶電聯合股份有限公司,光聚晶電,6111
亞矽科技股份有限公司,亞矽,6113
久威國際股份有限公司,久威,6114
建達國際股份有限公司,建達,6118
新普科技股份有限公司,新普,6121
擎邦國際科技工程股份有限公司,擎邦,6122
上奇科技股份有限公司,上奇,6123
業強科技股份有限公司,業強,6124
廣運機械工程股份有限公司,廣運,6125
信音企業股份有限公司,信音,6126
九豪精密陶瓷股份有限公司,九豪,6127
普誠科技股份有限公司,普誠,6129
上亞科技股份有限公司,上亞科技,6130
萬旭電業股份有限公司,萬旭,6134
茂達電子股份有限公司,茂達,6138
訊達電腦股份有限公司,訊達電腦,6140
振曜科技股份有限公司,振曜,6143
得利影視股份有限公司,得利影,6144
耕興股份有限公司,耕興,6146
頎邦科技股份有限公司,頎邦,6147
驊宏資通股份有限公司,驊宏資,6148
撼訊科技股份有限公司,撼訊,6150
晉倫科技股份有限公司,晉倫,6151
順發電腦股份有限公司,順發,6154
松上電子股份有限公司,松上,6156
禾昌興業股份有限公司,禾昌,6158
欣技資訊股份有限公司,欣技,6160
捷波資訊股份有限公司,捷波,6161
華電聯網股份有限公司,華電網,6163
久正光電股份有限公司,久正,6167
昱泉國際股份有限公司,昱泉,6169
統振股份有限公司,統振,6170
大城地產股份有限公司,大城地產,6171
信昌電子陶瓷股份有限公司,信昌電,6173
安碁科技股份有限公司,安碁,6174
立敦科技股份有限公司,立敦,6175
亞通利大能源股份有限公司,亞通,6179
遊戲橘子數位科技股份有限公司,橘子,6180
合晶科技股份有限公司,合晶,6182
幃翔精密股份有限公司,幃翔,6185
新潤興業股份有限公司,新潤,6186
萬潤科技股份有限公司,萬潤,6187
廣明光電股份有限公司,廣明,6188
萬泰科技股份有限公司,萬泰科,6190
育富電子股份有限公司,育富,6194
詩肯股份有限公司,詩肯,6195
瑞築建設股份有限公司,瑞築,6198
天品聯合企業股份有限公司,天品,6199
海韻電子工業股份有限公司,海韻電,6203
台灣艾華電子工業股份有限公司,艾華,6204
雷科股份有限公司,雷科,6207
日揚科技股份有限公司,日揚,6208
